GroupingCategory;CategoryDescriptionNOB;CategoryDescriptionENG;GroupingCode;CodeDescriptionNOB;CodeDescriptionENG
RF-1175;Næringsoppgave 1;Income Statement 1;1000;Forskning og utvikling;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1020;Immaterielle eiendeler, konsesjoner/melkekvote o.l.;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1080;Goodwill;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1105;Forretningsbygg (saldogruppe i);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1115;Bygg og anlegg, hotell o.l. (saldogruppe h);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1117;Elektroteknisk utrustning i kraftforetak mv. (saldogr. g);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1120;Fast teknisk installasjon i bygninger (saldogruppe j);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1130;Bygg, anlegg, maskiner under bygging - til eget bruk;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1131;Bygg, anlegg, maskiner under bygging - for salg;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1140;Jord- og skogverdier;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1150;Tomter og andre grunnarealer;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1160;Boliger inkl. tomter, hytter mv.;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1205;Maskiner, personbiler, inventar (saldogruppe d);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1221;Skip, rigger mv. (saldogruppe e);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1225;Fly, helikopter mv. (saldogruppe f);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1238;Vare-, lastebiler, busser m.v. (saldogruppe c);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1239;Varebiler med nullutslipp (saldogruppe c);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1280;Kontormaskiner;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1290;Andre driftsmidler;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1295;Avskrivbare eiendeler utenom saldosystemet (kostnadsford.);NA
RF-1175;Næringsoppgave 1;Income Statement 1;1296;Negativ gevinst- og tapskonto;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1298;Negativ tømmerkonto;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1495;Varelager;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1500;Kundefordringer;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1530;Opptjente, ikke fakturerte kundefordringer;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1577;Fordringer på ansatte;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1578;Fordringer på eiere, styremedlemmer o.l.;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1595;Langsiktige fordringer i utenlandsk valuta;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1599;Andre fordringer;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1780;Krav på innbetaling av selskapskapital;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1829;Aksjer og verdipapir- fondsandeler;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1869;Obligasjoner og sertifikater;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1880;Andre finansielle instrumenter;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1895;Andel i selskap med deltakerfastsetting;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1900;Kontanter;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1920;Bankinnskudd;NA
RF-1175;Næringsoppgave 1;Income Statement 1;1950;Bankinnskudd for skattetrekk;NA
RF-1175;Næringsoppgave 1;Income Statement 1;2015;Felleseid andelskapital i samvirkeforetak;NA
RF-1175;Næringsoppgave 1;Income Statement 1;2045;Avsatt utbytte;NA
RF-1175;Næringsoppgave 1;Income Statement 1;2050;Annen egenkapital;NA
RF-1175;Næringsoppgave 1;Income Statement 1;2080;Udekket tap;NA
RF-1175;Næringsoppgave 1;Income Statement 1;2095;Negativ saldo;NA
RF-1175;Næringsoppgave 1;Income Statement 1;2096;Positiv gevinst- og tapskonto;NA
