GroupingCategory;CategoryDescriptionNOB;CategoryDescriptionENG;GroupingCode;CodeDescriptionNOB;CodeDescriptionENG
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1000;Forskning og utvikling;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1020;Konsesjoner, patenter, lisenser, varemerker o.l. rettigheter;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1070;Utsatt skattefordel;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1080;Goodwill (saldogruppe b);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1101;Aktiverte letekostnader;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1102;Felt under utbygging;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1103;Produksjonsinnretning og rørledning;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1104;Fjernings- og nedstengningseiendeler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1105;Forretningsbygg (saldogruppe i);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1115;Bygg og anlegg, hotell o.l. (saldogruppe h);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1117;Elektronisk utrustning i kraftforetak mv. (saldogruppe g);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1120;Fast teknisk installasjon i bygninger (saldogruppe j);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1130;Anlegg, maskiner under utførelse;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1150;Tomter og andre grunnarealer;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1160;Bolig inkl. boligtomter, hytter mv.;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1180;Investeringseiendommer;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1205;Personbiler, maskiner, inventar mv. (saldogruppe d);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1221;Skip, rigger mv. (saldogruppe e);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1225;Fly, helikopter mv. (saldogruppe f);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1238;Vare-, lastebiler, busser mv. (saldogruppe c);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1239;Varebiler med nullutslipp (saldogruppe c);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1280;Kontormaskiner o.l. (saldogruppe a);NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1290;Andre driftsmidler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1312;Investeringer i datter- og konsernselskap med deltakerfastsetting;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1313;Investeringer i andre datter- og konsernselskap;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1320;Lån til foretak i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1331;Investeringer i tilknyttede selskap med deltakerfastsetting;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1332;Investeringer i andre tilknyttede selskap;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1340;Lån til tilknyttet selskap og felles kontrollert virksomhet;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1350;Investeringer i aksjer, andeler og verdipapirfondsandeler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1360;Obligasjoner;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1370;Fordringer på personlige eiere, styremedl. o.l.;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1380;Fordringer på ansatte;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1390;Andre fordringer;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1395;Netto pensjonsmidler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1400;Varelager;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1470;Mindre uttak av petroleumsprodukter;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1510;Kundefordringer på foretak i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1520;Andre kundefordringer;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1530;Opptjent, ikke fakturert driftsinntekt;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1560;Andre fordringer på selskap i samme konsern;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1565;Kortsiktige fordringer mot personlig eier/styremedl. o.l.;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1570;Andre kortsiktige fordringer;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1780;Krav på innbetaling av selskapskapital;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1800;Ikke-markedsbaserte aksjer og andeler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1810;Markedsbaserte aksjer og verdipapirfondsandeler;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1830;Markedsbaserte obligasjoner, sertifikater mv.;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1840;Andre obligasjoner og sertifikater;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1880;Andre finansielle instrumenter;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1900;Kontanter;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;1920;Bankinnskudd;NA
RF-1323;Skattemelding petroleumsskatteloven;Tax return Petroleum Tax Act;2000;Aksjekap./EK andre foretak;NA
