GroupingCategory;CategoryDescriptionNOB;CategoryDescriptionENG;GroupingCode;CodeDescriptionNOB;CodeDescriptionENG
RF-1167;Næringsoppgave 2;Income Statement 2;1000;Forskning og utvikling;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1020;Konsesjoner, patenter, lisenser, varemerker o.l. rettigheter;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1070;Utsatt skattefordel;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1080;Goodwill (saldogruppe b);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1105;Forretningsbygg (saldogruppe i);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1115;Bygg og anlegg, hotell o.l. (saldogruppe h);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1117;Elektroteknisk utrustning i kraftforetak mv. (saldogr. g);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1120;Fast teknisk installasjon i bygninger (saldogruppe j);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1130;Anlegg, maskiner under utførelse;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1150;Tomter og andre grunnarealer;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1160;Bolig inkl. boligtomter, hytter mv.;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1180;Investeringseiendommer;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1205;Personbiler, maskiner, inventar mv. (saldogruppe d);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1221;Skip, rigger mv. (saldogruppe e);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1225;Fly, helikopter mv. (saldogruppe f);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1238;Vare- og lastebiler, busser mv. (saldogruppe c);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1239;Varebiler med nullutslipp (saldogruppe c);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1280;Kontormaskiner o.l. (saldogruppe a);NA
RF-1167;Næringsoppgave 2;Income Statement 2;1290;Andre driftsmidler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1312;Investeringer i datter- og konsernselskap med deltakerfastsetting;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1313;Investeringer i andre datter- og konsernselskap;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1320;Lån til foretak i samme konsern;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1331;Investeringer i tilknyttede selskap med deltakerfastsetting;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1332;Investeringer i andre tilknyttede selskap;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1340;Lån til tilknyttet selskap og felles kontrollert virksomhet;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1350;Investeringer i aksjer, andeler og verdipapirfondsandeler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1360;Obligasjoner;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1370;Fordringer på personlige eiere, styremedl. o.l.;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1380;Fordringer på ansatte;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1390;Andre fordringer;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1395;Netto pensjonsmidler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1400;Varelager;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1490;Biologiske eiendeler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1500;Kundefordringer eksklusive på selskap i samme konsern;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1501;Kundefordringer på selskap i samme konsern;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1530;Opptjent, ikke fakturert driftsinntekt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1560;Andre fordringer på selskap i samme konsern;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1565;Kortsiktige fordringer mot personlig eier/styremedl. o.l.;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1570;Andre kortsiktige fordringer;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1780;Krav på innbetaling av selskapskapital;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1800;Ikke-markedsbaserte aksjer og andeler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1810;Markedsbaserte aksjer og verdipapirfondsandeler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1830;Markedsbaserte obligasjoner, sertifikater mv.;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1840;Andre obligasjoner og sertifikater;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1880;Andre finansielle instrumenter;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1900;Kontanter;NA
RF-1167;Næringsoppgave 2;Income Statement 2;1920;Bankinnskudd;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2000;Aksjekap./EK andre foretak;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2010;Egne aksjer (negativt beløp);NA
RF-1167;Næringsoppgave 2;Income Statement 2;2020;Overkurs;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2030;Annen innskutt egenkapital;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2043;Fond for vurderingsforskjeller;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2045;Fond for urealiserte gevinster;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2055;Avsatt utbytte (jf. IFRS);NA
RF-1167;Næringsoppgave 2;Income Statement 2;2059;Annen egenkapital;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2080;Udekket tap;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2100;Pensjonsforpliktelser;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2120;Utsatt skatt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2130;Derivater;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2160;Uopptjent inntekt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2180;Avsetninger for forpliktelser;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2200;Konvertible lån;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2210;Obligasjonslån;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2220;Gjeld til kredittinstitusjoner;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2250;Gjeld til ansatte og personlige eiere;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2260;Gjeld til selskap i samme konsern;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2280;Stille interessentinnskudd og ansvarlig lånekapital;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2290;Annen langsiktig gjeld;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2310;Konvertible lån;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2320;Obligasjonslån;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2330;Derivater;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2380;Gjeld til kredittinstitusjoner;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2400;Leverandørgjeld;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2460;Leverandørgjeld til selskap i samme konsern;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2500;Betalbar skatt, ikke fastsatt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2510;Betalbar skatt, fastsatt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2600;Skattetrekk og andre trekk;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2740;Skyldig merverdiavgift;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2770;Skyldig arbeidsgiveravgift;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2790;Andre offentlige avgifter;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2800;Avsatt utbytte;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2900;Forskudd fra kunder;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2910;Gjeld til ansatte og personlige eiere;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2920;Gjeld til selskap i samme konsern;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2949;Lønn, feriepenger o.l.;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2950;Påløpt rente;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2970;Uopptjent inntekt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2980;Avsetninger for forpliktelser;NA
RF-1167;Næringsoppgave 2;Income Statement 2;2990;Annen kortsiktig gjeld;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3000;Salgsinntekt og uttak, avgiftspliktig;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3100;Salgsinntekt og uttak, avgiftsfri;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3200;Salgsinntekt og uttak utenfor merverdiavgiftsloven;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3300;Spesielle offentlige avgifter ÷ vedrørende salg;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3400;Offentlig tilskudd/refusjon;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3410;Tilskudd kompensasjonsordning;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3500;Endring uopptjent inntekt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3600;Leieinntekt fast eiendom;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3695;Annen leieinntekt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3700;Provisjonsinntekt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3850;Verdiendringer investeringseiendommer;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3870;Verdiendringer biologiske eiendeler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3880;Gevinst ved avgang av immatr. eiendeler og varige driftsmidler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3885;Gevinst ved avgang av finansielle anleggsmidler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;3900;Annen driftsrelatert inntekt;NA
RF-1167;Næringsoppgave 2;Income Statement 2;4005;Varekostnad;NA
RF-1167;Næringsoppgave 2;Income Statement 2;4295;Beholdn.endring av varer under tilvirkning og ferdig tilv. varer;NA
RF-1167;Næringsoppgave 2;Income Statement 2;4500;Fremmedytelse og underentreprise;NA
RF-1167;Næringsoppgave 2;Income Statement 2;4995;Beholdn.endring av egen- ÷ tilvirkede anleggsmidler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;5000;Lønn, feriepenger mv.;NA
RF-1167;Næringsoppgave 2;Income Statement 2;5300;Annen opplysningspliktig godtgjørelse;NA
RF-1167;Næringsoppgave 2;Income Statement 2;5400;Arbeidsgiveravgift;NA
RF-1167;Næringsoppgave 2;Income Statement 2;5420;Opplysningspliktig pensjonskostnad;NA
RF-1167;Næringsoppgave 2;Income Statement 2;5600;Arbeidsgodtgjørelse til eiere i ANS mv.;NA
RF-1167;Næringsoppgave 2;Income Statement 2;5900;Annen personalkostnad;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6000;Avskrivning på varige dr.m. og immaterielle eiendeler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6050;Nedskrivning på varige dr.m. og immaterielle eiendeler;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6100;Frakt og transportkostnad vedrørende salg;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6200;Energi, brensel mv. vedrørende produksjon;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6300;Leie lokale;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6340;Lys, varme;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6395;Renovasjon, vann, avløp, renhold mv.;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6400;Leie maskiner, inventar, transportmidler o.l.;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6500;Verktøy, inventar mv. som ikke skal aktiveres;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6600;Reparasjon og vedlikehold bygning;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6695;Reparasjon og annet vedlikehold;NA
RF-1167;Næringsoppgave 2;Income Statement 2;6700;Fremmed tjeneste (regnskap rev.hon., rådgivning o.l.);NA
RF-1167;Næringsoppgave 2;Income Statement 2;6995;Elektronisk kommunikasjon, porto mv.;NA
