GroupingCategory;CategoryDescriptionNOB;CategoryDescriptionENG;GroupingCode;CodeDescriptionNOB;CodeDescriptionENG
RF-1501;Næringsoppgave 6;Income Statement 6;1.05.0.10;Forfalte premier, brutto;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.05.0.20;Avgitte gjenforsikringspremier (negativt fortegn hvis kostnad);NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.07.0.00;Overføring av premiereserve, pensjonskapital mv. fra andre;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.10.0.00;Renteinntekter mv.;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.35.1.00;Utbytte og andel av over-/ under-skudd, samt renter på obligasjons- og pengemarkedsfond;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.60.1.00;Netto verdiendringer (negativ hvis netto negative verdiendringer);NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.70.1.00;Netto realisert gevinst/tap (negativ hvis netto realisert tap);NA
RF-1501;Næringsoppgave 6;Income Statement 6;2.45.0.00;Provisjoner og administrasjonsgebyrer;NA
RF-1501;Næringsoppgave 6;Income Statement 6;2.55.0.00;Driftsinntekter faste eiendommer;NA
RF-1501;Næringsoppgave 6;Income Statement 6;2.65.0.00;Øvrige forsikringsrelaterte inntekter;NA
RF-1501;Næringsoppgave 6;Income Statement 6;3.00.0.00;Øvrige inntekter i teknisk regnskap;NA
RF-1501;Næringsoppgave 6;Income Statement 6;4.05.0.10;Erstatninger, Utbetalte erstatninger brutto;NA
RF-1501;Næringsoppgave 6;Income Statement 6;4.05.0.20;Erstatninger, Gjenforsikringsandel;NA
RF-1501;Næringsoppgave 6;Income Statement 6;4.07.0.00;Overføring av premiereserve og pensjonskapital mv. til andre forsikringsforetak/pensjonskasser;NA
RF-1501;Næringsoppgave 6;Income Statement 6;4.08.0.00;Resultatførte endringer i forsikringsforpliktelser (negativt fortegn hvis inntekt);NA
RF-1501;Næringsoppgave 6;Income Statement 6;4.09.0.00;Midler tilordnet forsikringskontraktene;NA
RF-1501;Næringsoppgave 6;Income Statement 6;4.10.0.00;Rentekostnader;NA
RF-1501;Næringsoppgave 6;Income Statement 6;5.00.0.00;Forsikringsrelaterte driftskostnader;NA
RF-1501;Næringsoppgave 6;Income Statement 6;9.00.0.00;Øvrige kostnader teknisk regnskap;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.10.1.21.00;Renteinntekter mv., Bankinnskudd;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.10.1.40.00;Renteinntekter mv., Rentebærende verdipapirer;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.10.2.55.00;Renteinntekter mv., Utlån;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.10.0.88.00;Renteinntekter mv., Finansielle derivater;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.10.0.91.00;Renteinntekter mv., Andre finansielle eiendeler;NA
RF-1501;Næringsoppgave 6;Income Statement 6;1.35.1.36.10;Utbytte og andel av over-/underskudd, Aksjer, andeler og egenkapitalbevis, Obligasjons- og pengemarkedsfond, renter av andeler;NA
