GroupingCategory;CategoryDescriptionNOB;CategoryDescriptionENG;GroupingCode;CodeDescriptionNOB;CodeDescriptionENG
RF-1503;Næringsoppgave 7;Income Statement 7;1.05.0.10;Forfalte bruttopremier;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.05.0.20;Avgitte gjenforsikringspremier (negativt fortegn hvis kostnad);NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.05.0.30;Endring i avsetning for ikke opptjent bruttopremie (negativt fortegn hvis kostnad);NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.05.0.40;Endring i gjenforsikringsandel av ikke opptjent bruttopremie (negativt fortegn hvis kostnad);NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.10.0.00;Renteinntekter mv.;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.35.1.36.70;Resultatandel,Ek-.metoden (kan være negativ);NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.35.0.99;Annet utbytte og andel av over-/ under-skudd, samt renter på obligasjons- og pengemarkedsfond;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.60.0.00;Netto verdiendringer (negativ hvis netto negative verdiendringer);NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.70.0.00;Netto realisert gevinst/tap (negativ hvis netto realisert tap);NA
RF-1503;Næringsoppgave 7;Income Statement 7;2.45.0.00;Provisjoner og administrasjonsgebyrer;NA
RF-1503;Næringsoppgave 7;Income Statement 7;2.55.0.00;Driftsinntekter faste eiendommer;NA
RF-1503;Næringsoppgave 7;Income Statement 7;2.65.0.00;Øvrige forsikringsrelaterte inntekter;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.65.0.00;Rente på skatt og andre inntekter i ikke-teknisk regnskap;NA
RF-1503;Næringsoppgave 7;Income Statement 7;4.05.0.00;Erstatningskostnader;NA
RF-1503;Næringsoppgave 7;Income Statement 7;4.08.0.00;Endring i øvrige forsikringstekniske avsetninger;NA
RF-1503;Næringsoppgave 7;Income Statement 7;4.10.8.00;Rentekostnader, Ansvarlig lånekapital;NA
RF-1503;Næringsoppgave 7;Income Statement 7;4.10.0.88;Rentekostnader, Finansielle derivater;NA
RF-1503;Næringsoppgave 7;Income Statement 7;4.10.0.91;Rentekostnader, Andre finansielle forpliktelser;NA
RF-1503;Næringsoppgave 7;Income Statement 7;4.10.0.94;Forsikringsrelaterte rentekostnader;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.45.0.10;Provisjoner, kurtasje mv., Provisjoner til agenter mv.;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.45.0.20;Provisjoner, kurtasje mv., Avgitt provisjoner for mottatt gjenforsikring (negativt fortegn hvis inntekt);NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.45.0.30;Provisjoner, kurtasje mv., Mottatte provisjoner for avgitt gjenforsikring og gevinstandeler (negativt fortegn hvis inntekt);NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.45.0.40;Provisjoner, kurtasje mv., Avgitt provisjon for mottatt koassuranse (negativt fortegn hvis inntekt);NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.45.0.50;Provisjoner, kurtasje mv., Mottatt provisjon for avgitt koassuranse (negativt fortegn hvis inntekt);NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.45.0.88;Provisjoner, kurtasje mv., Kurtasje mv.;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.50.0.05;Lønns- og personalkostnader, Lønn og feriepenger til ansatte;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.50.0.21;Lønns- og personalkostnader, Arbeidsgiveravgift;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.50.0.28;Lønns- og personalkostnader, Pensjonskostnader;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.50.0.50;Lønns- og personalkostnader, Andre personalkostnader;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.52.0.00;Honorarer;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.55.0.00;Driftskostnader faste eiendommer;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.65.0.10;Andre ordinære driftskostnader, Leie og driftskostnader vedr. lokaler og maskiner mv.;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.65.0.88;Andre forsikringsrelaterte driftskostnader og kostnader knyttet til finansielle eiendeler;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.65.0.89;Andre forsikringsrelaterte kostnader;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.71.4.85;Avskrivninger, Immaterielle eiendeler mv.;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.71.5.86;Avskrivninger, Bygninger og annen fast eiendom;NA
RF-1503;Næringsoppgave 7;Income Statement 7;5.71.5.87;Avskrivninger, Maskiner, inventar og transportmidler;NA
RF-1503;Næringsoppgave 7;Income Statement 7;6.65.0.00;Emisjonskostnader, rente på skatt og andre kostnader i ikke-teknisk regnskap;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.05.0.05;Periodeskatt;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.05.0.11;For lite/mye avsatt skatt tidligere år;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.05.0.92;Endring i forpliktelse ved utsatt skatt;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.91.0.30;Estimatendinger knyttet til ytelsesbaserte pensjonsordninger;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.91.0.60;Fra finansielle eiendeler og forpliktelser;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.91.0.71;Verdireguleringer på eiendom, anlegg og utstyr;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.91.0.72;Fra andre ikke-finansielle eiendeler;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.91.7.89;Skatt på andre inntekter og kostnader som ikke blir omklassifisert;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.92.0.20;Fra investeringer i rentebærende verdipapirer klassifisert til virkelig verdi over OCI - kun skadeforsikring som følger IFRS 9;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.92.0.21;Gevinster og tap på finansielle eiendeler tilgjengelig for salg - kun skadeforsikring som ikke følger IFRS 9;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.92.0.40;Effektiv andel av nettogevinst på sikringsinstrumenter i kontantstrømsikring;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.92.0.60;Fra andre finansielle eiendeler og forpliktelser;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.92.0.70;Fra ikke-finansielle eiendeler;NA
RF-1503;Næringsoppgave 7;Income Statement 7;8.92.7.89;Skatt på andre inntekter og kostnader som kan bli omklassifisert;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.15.00;Sedler og skillemynt;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.21.00;Bankinnskudd;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.36.21;Aksjer, ekskl. aksjer i eiendomsselskaper;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.36.22;Aksjer i eiendomsselskaper;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.36.31;Andeler i KS og ansvarlige selskaper, ekskl. andeler i eiendomsselskaper;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.36.32;Andeler i eiendomsselskaper;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.36.33;Andeler i indre eiendomsselskaper;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.36.34;Andeler i andre indre selskaper (IS);NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.36.51;Andeler i rentefond;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.36.56;Andeler i aksje- og kombinasjonsfond;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.36.90;Egenkapitalbevis;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.40.00;Rentebærende omsettelige verdipapirer;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.88.00;Finansielle derivater;NA
RF-1503;Næringsoppgave 7;Income Statement 7;1.89.90;Andre verdipapirer/finansielle eiendeler ekskl. utlån;NA
RF-1503;Næringsoppgave 7;Income Statement 7;2.55.37;Utlån brutto balanseført verdi - Med pant i bolig;NA
RF-1503;Næringsoppgave 7;Income Statement 7;2.55.42;Utlån brutto balanseført verdi - Andre pantelån;NA
RF-1503;Næringsoppgave 7;Income Statement 7;2.55.88;Utlån brutto balanseført verdi - Verdipapir-/ repolån;NA
RF-1503;Næringsoppgave 7;Income Statement 7;2.55.92;Utlån brutto balanseført verdi - Andre utlån;NA
RF-1503;Næringsoppgave 7;Income Statement 7;2.60.00;Tapsnedskrivninger;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.26.00;Gjenforsikringsandel av ikke opptjent bruttopremie;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.27.00;Gjenforsikringsandel av brutto erstatningsavsetning;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.62.70;Opptjente, ikke forfalte leieinntekter;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.62.90;Opptjente, ikke forfalte andre inntekter;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.63.50;Forskuddsbetalte direkte salgskostnader;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.63.90;Forskuddsbetalte andre kostnader;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.73.00;I regning med filial;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.75.10;Andre fordringer - Tegnet, ikke innbetalt kapital;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.75.31;Andre fordringer - Vedr. dir. forsikring, forsikringstakere;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.75.32;Andre fordringer - Vedr. direkte forsikring, mellommenn;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.75.40;Andre fordringer - Vedrørende gjenforsikring;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.75.90;Andre fordringer - Andre fordringer ellers;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.84.00;Eiendeler ved skatt (utsatt skattefordel);NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.89.50;Andre eiendeler - Gjenforsikringsdepoter;NA
RF-1503;Næringsoppgave 7;Income Statement 7;3.89.90;Andre eiendeler - Øvrige;NA
RF-1503;Næringsoppgave 7;Income Statement 7;4.85.11;Immaterielle eiendeler - Goodwill;NA
RF-1503;Næringsoppgave 7;Income Statement 7;4.85.90;Immaterielle eiendeler - Andre immaterielle eiendeler;NA
