GroupingCategory;CategoryDescriptionNOB;CategoryDescriptionENG;GroupingCode;CodeDescriptionNOB;CodeDescriptionENG
;;;;;
RF-1173;Næringsoppgave 4;Income Statement 4;1.11.00;Kontanter;NA
RF-1173;Næringsoppgave 4;Income Statement 4;1.16.00;Bankinnskudd;NA
RF-1173;Næringsoppgave 4;Income Statement 4;2.20.40;Fondsobligasjoner klassifisert som egenkapital;NA
RF-1173;Næringsoppgave 4;Income Statement 4;2.20.51;Andeler i rentefond;NA
RF-1173;Næringsoppgave 4;Income Statement 4;2.20.56;Andeler i aksjefond (inkl. kombinasjonsfond);NA
RF-1173;Næringsoppgave 4;Income Statement 4;2.20.90;Aksjer, egenkapitalbevis og øvrige andeler;NA
RF-1173;Næringsoppgave 4;Income Statement 4;2.30.10;Obligasjoner med fortrinnsrett;NA
RF-1173;Næringsoppgave 4;Income Statement 4;2.30.40;Fondsobligasjoner klassifisert som ansv. lånekapital;NA
RF-1173;Næringsoppgave 4;Income Statement 4;2.30.91;Andre rentebærende verdipapirer med opprinnelig løpetid tom. 12 mnd.;NA
RF-1173;Næringsoppgave 4;Income Statement 4;2.30.92;Andre rentebærende verdipapirer med opprinnelig løpetid over 12 mnd.;NA
RF-1173;Næringsoppgave 4;Income Statement 4;2.40.00;Finansielle derivater;NA
RF-1173;Næringsoppgave 4;Income Statement 4;3.51.11;Utlån, brutto balanseført verdi - Factoring;NA
RF-1173;Næringsoppgave 4;Income Statement 4;3.51.15;Utlån, brutto balanseført verdi - Kredittkort;NA
RF-1173;Næringsoppgave 4;Income Statement 4;3.51.19;Utlån, brutto balanseført verdi - Andre rammelån/rammekreditter;NA
RF-1173;Næringsoppgave 4;Income Statement 4;3.51.30;Utlån, brutto balanseført verdi - Leasing;NA
RF-1173;Næringsoppgave 4;Income Statement 4;3.51.50;Utlån, brutto balanseført verdi - Nedbetalingslån;NA
